00:00.320  blend            | Read blend: "/Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/assets/lighting.blend"
[check] linked ARCH: ok
[check] linked ENV: ok
[common] set_lod viewport=LOD1 render=LOD0: 5128 objects, 6 collections
[check] 103 samples x 96 rays in 9.8s

  frame     t |      x      y     z | nearest  what                              |   agl surface                    | speed  leg
    769  32.0 |   55.3  -12.1  1.15 |    1.55  ARCH_colonnade_south_column_012_LOD1 |  1.85 ENV_ground_colonnade_walk  |  4.60  gallery
    781  32.5 |   53.4  -13.3  1.15 |    1.49  ARCH_colonnade_south_column_010_LOD1 |  1.87 ENV_terrain_ground         |  4.60  gallery
    793  33.0 |   51.4  -14.6  1.15 |    1.90  ENV_ground_colonnade_walk        |  1.88 ENV_terrain_ground         |  4.60  gallery
    805  33.5 |   49.5  -15.8  1.15 |    1.44  ARCH_colonnade_south_column_009_LOD1 |  1.88 ENV_ground_colonnade_walk  |  4.60  gallery
    817  34.0 |   47.5  -17.0  1.15 |    1.91  ENV_ground_colonnade_walk        |  1.90 ENV_ground_colonnade_walk  |  4.60  gallery
    829  34.5 |   45.5  -18.1  1.15 |    1.42  ARCH_colonnade_south_column_006_LOD1 |  1.84 ENV_ground_colonnade_walk  |  4.60  gallery
    841  35.0 |   43.5  -19.2  1.15 |    1.90  ENV_ground_colonnade_walk        |  1.88 ENV_ground_colonnade_walk  |  4.60  gallery
    853  35.5 |   41.4  -20.2  1.15 |    1.50  ARCH_colonnade_south_column_004_LOD1 |  1.86 ENV_ground_colonnade_walk  |  4.60  gallery
    865  36.0 |   39.4  -21.2  1.15 |    1.89  ENV_ground_colonnade_walk        |  1.90 ENV_terrain_ground         |  4.60  gallery
    877  36.5 |   37.3  -22.2  1.15 |    1.46  ARCH_colonnade_south_column_002_LOD1 |  1.84 ENV_ground_colonnade_walk  |  4.60  gallery
    889  37.0 |   35.2  -23.1  1.15 |    1.48  ARCH_colonnade_south_column_001_LOD1 |  1.83 ENV_ground_colonnade_walk  |  4.60  gallery
    901  37.5 |   33.0  -24.0  1.13 |    1.86  ENV_ground_colonnade_walk        |  1.83 ENV_ground_colonnade_walk  |  4.60  gallery
    913  38.0 |   30.9  -24.9  1.10 |    1.83  ENV_ground_colonnade_walk        |  1.82 ENV_ground_colonnade_walk  |  4.60  gallery
    925  38.5 |   28.7  -24.7  1.09 |    1.76  ENV_ground_colonnade_walk        |  1.75 ENV_ground_colonnade_walk  |  5.54  approach
    937  39.0 |   26.7  -22.7  1.13 |    1.77  ENV_terrain_ground               |  1.75 ENV_terrain_ground         |  5.60  approach
    949  39.5 |   24.8  -20.7  1.15 |    1.76  ENV_terrain_ground               |  1.75 ENV_terrain_ground         |  5.60  approach
    961  40.0 |   23.1  -18.5  1.19 |    1.81  ENV_terrain_ground               |  1.79 ENV_terrain_ground         |  5.60  approach
    973  40.5 |   21.1  -16.5  1.46 |    1.82  ARCH_site_platform               |  2.07 ENV_terrain_ground         |  5.60  approach
    985  41.0 |   18.9  -14.8  1.68 |    1.70  ARCH_site_platform               |  1.68 ARCH_site_platform         |  5.60  approach
    997  41.5 |   16.7  -13.1  1.77 |    1.78  ARCH_site_platform               |  1.77 ARCH_site_platform         |  5.60  approach
   1009  42.0 |   14.5  -11.4  1.78 |    1.80  ARCH_site_platform               |  1.78 ARCH_site_platform         |  5.60  approach
   1021  42.5 |   12.3   -9.7  1.76 |    1.78  ARCH_site_platform               |  1.76 ARCH_site_platform         |  5.60  approach
   1033  43.0 |   10.1   -7.9  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  5.60  approach
   1045  43.5 |    7.8   -6.3  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  5.60  approach
   1057  44.0 |    5.8   -4.4  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  5.60  approach
   1069  44.5 |    4.0   -2.3  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  5.60  approach
   1081  45.0 |    2.4   -0.2  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  4.54  approach
   1093  45.5 |    1.3    1.3  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  3.28  approach
   1105  46.0 |    0.5    2.4  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  2.10  approach
   1117  46.5 |    0.1    2.9  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.50  approach
   1129  47.0 |    0.0    3.0  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.00  approach
   1141  47.5 |    0.0    3.0  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.00  approach
   1153  48.0 |    0.0    3.0  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.00  approach
   1165  48.5 |    0.0    3.0  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.00  approach
   1177  49.0 |    0.0    3.0  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.00  approach
   1189  49.5 |    0.0    3.0  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.00  approach
   1201  50.0 |    0.0    3.0  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.00  approach
   1213  50.5 |    0.0    3.0  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.00  approach
   1224  51.0 |    0.0    3.0  1.75 |    1.77  ARCH_site_platform               |  1.75 ARCH_site_platform         |  0.00  approach

[gate] clearance : min 1.42 m overall | outside the gallery 1.70 (>= 1.5) | gallery 1.42 (>= 1.35, geometric max on the centreline 1.40) PASS
[gate] level     : min agl 1.68 m (>= 1.5); over water min z 1.60 (>= -0.8, 30 samples over the lagoon) PASS
[gate] speed     : land max 5.60 m/s (<= 6.0); water crossing frames 1-404 max 9.20 m/s (<= 10.0) PASS
[gate] holds     : hero 3.50s  dome 4.17s  (each >= 3.0s) PASS

[check] path 250.1 m over 1224 frames @ 24 fps = 51.0 s, mean 4.90 m/s
[check] RESULT: ALL GATES PASS
[check] wrote /Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/renders/logs/light_flythrough_check.json
blender_run.sh: pid 27900 exited rc=0 after 21 s (max 2400)
